Forecast_Timestamp,Building_ID,Predicted_Occupancy,Forecast_Utilization_Percent,Overcrowded_Records,Workspace_Status,Agent_Decision,Priority,Alert_Type,Agent_Recommendation
2026-01-15 18:45:00,BLDG_A,0.0,0.0,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 19:45:00,BLDG_A,2.0,8.0,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 20:45:00,BLDG_A,0.57,3.06,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 21:45:00,BLDG_A,0.86,4.72,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 22:45:00,BLDG_A,0.33,2.38,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 23:45:00,BLDG_A,0.0,0.0,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 00:45:00,BLDG_A,0.64,3.35,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 01:45:00,BLDG_A,1.17,5.98,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 02:45:00,BLDG_A,0.75,4.17,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 03:45:00,BLDG_A,3.0,12.0,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 04:45:00,BLDG_A,1.11,5.7,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 05:45:00,BLDG_A,0.0,0.0,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 06:45:00,BLDG_A,0.75,3.45,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 07:45:00,BLDG_A,0.94,4.84,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 08:45:00,BLDG_A,4.44,23.85,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 09:45:00,BLDG_A,6.5,59.09,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 10:45:00,BLDG_A,11.67,46.67,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 11:45:00,BLDG_A,6.47,38.01,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 12:45:00,BLDG_A,6.74,34.26,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 13:45:00,BLDG_A,6.33,45.24,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 14:45:00,BLDG_A,13.5,49.09,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 15:45:00,BLDG_A,5.63,32.13,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 16:45:00,BLDG_A,7.62,36.53,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-16 17:45:00,BLDG_A,1.5,8.33,4,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 18:45:00,BLDG_B,0.83,4.2,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
2026-01-15 19:45:00,BLDG_B,0.0,0.0,5,Overcrowded,Manage Overcrowding,MEDIUM,OCCUPANCY WARNING,Redistribute occupants to available workspace.
