Day_Name,Hour,Average_Occupancy,Average_Utilization
Monday,0,0.75,4.1675
Monday,1,0.75,5.4175
Monday,2,1.25,7.0
Monday,3,1.0,6.6675
Monday,4,1.75,8.66
Monday,5,0.25,2.5
Monday,6,1.0,7.57
Monday,7,2.25,7.785
Monday,8,5.25,22.7075
Monday,9,9.125,49.29875
Monday,10,11.875,59.04625
Monday,11,10.875,53.7825
Monday,12,8.0,40.14625
Monday,13,6.75,35.40375
Monday,14,8.125,44.4125
Monday,15,10.25,52.707499999999996
Monday,16,8.5,49.85375
Monday,17,5.625,29.11375
Monday,18,1.125,6.37625
Monday,19,1.125,5.37125
Monday,20,1.375,9.875
Monday,21,1.25,7.9825
Monday,22,1.5,7.34875
Monday,23,0.375,2.91625
Tuesday,0,0.25,1.0
Tuesday,1,1.375,5.873749999999999
Tuesday,2,1.125,6.80875
Tuesday,3,2.375,10.625
Tuesday,4,0.875,5.35375
Tuesday,5,1.5,6.07125
Tuesday,6,1.0,7.70875
Tuesday,7,1.375,7.0825
Tuesday,8,4.75,25.125
Tuesday,9,11.25,57.63875
Tuesday,10,12.25,55.49125
Tuesday,11,12.25,62.06125
Tuesday,12,7.375,42.14
Tuesday,13,13.0,51.807500000000005
Tuesday,14,8.875,44.79125
Tuesday,15,10.5,54.13125
Tuesday,16,8.375,44.165
Tuesday,17,5.125,24.25875
Tuesday,18,0.75,3.1237500000000002
Tuesday,19,0.875,5.2575
Tuesday,20,2.0,9.59
Tuesday,21,0.5,1.875
Tuesday,22,1.0,8.02125
Tuesday,23,1.0,6.0075
Wednesday,0,1.0,5.39375
Wednesday,1,1.125,6.04125
Wednesday,2,1.625,7.0625
Wednesday,3,1.125,7.335
Wednesday,4,0.75,3.71375
Wednesday,5,2.25,10.0
Wednesday,6,2.125,10.23625
Wednesday,7,0.875,3.17875
Wednesday,8,3.0,15.17875
Wednesday,9,11.375,52.8125
Wednesday,10,8.5,45.4925
Wednesday,11,9.625,52.75625
Wednesday,12,6.5,37.7375
Wednesday,13,9.375,42.58375
Wednesday,14,9.5,47.6425
Wednesday,15,14.25,66.49625
Wednesday,16,13.625,60.625
Wednesday,17,3.25,18.5825
Wednesday,18,0.625,4.42
Wednesday,19,1.0,4.79125
Wednesday,20,1.75,6.875
Wednesday,21,1.375,7.125
Wednesday,22,0.5,3.3925
Wednesday,23,1.625,7.33375
Thursday,0,1.25,7.29125
Thursday,1,1.5,6.205
Thursday,2,1.875,10.47625
Thursday,3,0.75,2.91625
Thursday,4,1.625,7.39625
Thursday,5,1.375,7.075
Thursday,6,0.75,2.91625
Thursday,7,1.25,4.79125
Thursday,8,9.25,42.47875
Thursday,9,10.5,56.1975
Thursday,10,11.75,51.6875
Thursday,11,11.25,59.16625
Thursday,12,6.875,35.46625
Thursday,13,8.875,55.76
Thursday,14,11.125,57.235
Thursday,15,8.75,43.207499999999996
Thursday,16,9.125,50.4625
Thursday,17,4.625,25.2525
Thursday,18,1.0,2.9175
Thursday,19,1.5,5.0
Thursday,20,0.25,1.39
Thursday,21,2.0,12.3225
Thursday,22,0.25,1.25
Thursday,23,0.75,5.0
Friday,0,0.25,2.5
Friday,1,3.0,12.41
Friday,2,0.75,5.0
Friday,3,1.25,5.7775
Friday,4,0.5,3.5
Friday,5,1.0,3.3325
Friday,6,0.75,2.5
Friday,7,1.5,7.5375
Friday,8,3.75,23.3575
Friday,9,10.75,51.25
Friday,10,10.0,49.957499999999996
Friday,11,13.25,60.0375
Friday,12,9.5,50.06
Friday,13,14.5,58.542500000000004
Friday,14,10.0,51.667500000000004
Friday,15,6.5,36.475
Friday,16,10.75,43.542500000000004
Friday,17,1.5,11.25
Friday,18,0.75,5.125
Friday,19,1.0,5.5725
Friday,20,3.0,10.2075
Friday,21,1.5,8.1675
Friday,22,0.75,6.4575
Friday,23,1.25,8.0
Saturday,0,0.0,0.0
Saturday,1,0.75,2.5
Saturday,2,1.25,7.5
Saturday,3,2.0,7.5
Saturday,4,2.0,7.0825
Saturday,5,2.75,12.165
Saturday,6,1.5,8.095
Saturday,7,1.5,6.6975
Saturday,8,1.0,4.5825
Saturday,9,0.75,6.1825
Saturday,10,1.5,5.1425
Saturday,11,0.75,3.3325
Saturday,12,0.75,6.25
Saturday,13,1.5,6.865
Saturday,14,0.75,6.25
Saturday,15,0.5,4.5825
Saturday,16,0.25,3.125
Saturday,17,1.0,6.6675
Saturday,18,1.0,8.75
Saturday,19,0.75,3.75
Saturday,20,0.0,0.0
Saturday,21,0.5,3.215
Saturday,22,2.5,9.1975
Saturday,23,1.5,5.4175
Sunday,0,0.25,1.0
Sunday,1,1.5,7.5
Sunday,2,0.25,1.25
Sunday,3,1.5,9.5825
Sunday,4,0.25,3.125
Sunday,5,1.25,7.285
Sunday,6,0.0,0.0
Sunday,7,1.0,3.3325
Sunday,8,0.0,0.0
Sunday,9,0.5,5.0
Sunday,10,0.0,0.0
Sunday,11,2.0,9.7925
Sunday,12,0.75,4.5
Sunday,13,0.75,2.2925
Sunday,14,1.5,8.3325
Sunday,15,0.75,4.1675
Sunday,16,1.0,7.8575
Sunday,17,0.5,3.3325
Sunday,18,1.25,4.6675
Sunday,19,0.0,0.0
Sunday,20,1.0,5.75
Sunday,21,2.75,11.4575
Sunday,22,0.75,5.125
Sunday,23,2.5,11.16
