Forecast_Timestamp,Building_ID,Forecast_Hour,Day_of_Week,Predicted_Occupancy,Forecast_Utilization_Percent,Forecast_Status,Usage_Category
2026-01-15 18:45:00,BLDG_A,18,Thursday,0.0,0.0,Low,Low Usage
2026-01-15 19:45:00,BLDG_A,19,Thursday,2.0,8.0,Low,Low Usage
2026-01-15 20:45:00,BLDG_A,20,Thursday,0.57,3.06,Low,Low Usage
2026-01-15 21:45:00,BLDG_A,21,Thursday,0.86,4.72,Low,Low Usage
2026-01-15 22:45:00,BLDG_A,22,Thursday,0.33,2.38,Low,Low Usage
2026-01-15 23:45:00,BLDG_A,23,Thursday,0.0,0.0,Low,Low Usage
2026-01-16 00:45:00,BLDG_A,0,Friday,0.64,3.35,Low,Low Usage
2026-01-16 01:45:00,BLDG_A,1,Friday,1.17,5.98,Low,Low Usage
2026-01-16 02:45:00,BLDG_A,2,Friday,0.75,4.17,Low,Low Usage
2026-01-16 03:45:00,BLDG_A,3,Friday,3.0,12.0,Low,Low Usage
2026-01-16 04:45:00,BLDG_A,4,Friday,1.11,5.7,Low,Low Usage
2026-01-16 05:45:00,BLDG_A,5,Friday,0.0,0.0,Low,Low Usage
2026-01-16 06:45:00,BLDG_A,6,Friday,0.75,3.45,Low,Low Usage
2026-01-16 07:45:00,BLDG_A,7,Friday,0.94,4.84,Low,Low Usage
2026-01-16 08:45:00,BLDG_A,8,Friday,4.44,23.85,Low,Low Usage
2026-01-16 09:45:00,BLDG_A,9,Friday,6.5,59.09,Normal,Medium Usage
2026-01-16 10:45:00,BLDG_A,10,Friday,11.67,46.67,Low,Low Usage
2026-01-16 11:45:00,BLDG_A,11,Friday,6.47,38.01,Low,Low Usage
2026-01-16 12:45:00,BLDG_A,12,Friday,6.74,34.26,Low,Low Usage
2026-01-16 13:45:00,BLDG_A,13,Friday,6.33,45.24,Low,Low Usage
2026-01-16 14:45:00,BLDG_A,14,Friday,13.5,49.09,Low,Low Usage
2026-01-16 15:45:00,BLDG_A,15,Friday,5.63,32.13,Low,Low Usage
2026-01-16 16:45:00,BLDG_A,16,Friday,7.62,36.53,Low,Low Usage
2026-01-16 17:45:00,BLDG_A,17,Friday,1.5,8.33,Low,Low Usage
2026-01-15 18:45:00,BLDG_B,18,Thursday,0.83,4.2,Low,Low Usage
2026-01-15 19:45:00,BLDG_B,19,Thursday,0.0,0.0,Low,Low Usage
2026-01-15 20:45:00,BLDG_B,20,Thursday,0.25,1.08,Low,Low Usage
2026-01-15 21:45:00,BLDG_B,21,Thursday,0.89,4.48,Low,Low Usage
2026-01-15 22:45:00,BLDG_B,22,Thursday,0.95,5.42,Low,Low Usage
2026-01-15 23:45:00,BLDG_B,23,Thursday,1.5,13.04,Low,Low Usage
2026-01-16 00:45:00,BLDG_B,0,Friday,0.0,0.0,Low,Low Usage
2026-01-16 01:45:00,BLDG_B,1,Friday,1.06,5.46,Low,Low Usage
2026-01-16 02:45:00,BLDG_B,2,Friday,1.29,6.8,Low,Low Usage
2026-01-16 03:45:00,BLDG_B,3,Friday,0.67,4.88,Low,Low Usage
2026-01-16 04:45:00,BLDG_B,4,Friday,0.5,1.67,Low,Low Usage
2026-01-16 05:45:00,BLDG_B,5,Friday,1.78,8.94,Low,Low Usage
2026-01-16 06:45:00,BLDG_B,6,Friday,1.17,5.88,Low,Low Usage
2026-01-16 07:45:00,BLDG_B,7,Friday,1.5,7.89,Low,Low Usage
2026-01-16 08:45:00,BLDG_B,8,Friday,3.0,12.0,Low,Low Usage
2026-01-16 09:45:00,BLDG_B,9,Friday,8.33,45.56,Low,Low Usage
2026-01-16 10:45:00,BLDG_B,10,Friday,5.0,62.5,Normal,Medium Usage
2026-01-16 11:45:00,BLDG_B,11,Friday,13.25,56.99,Normal,Medium Usage
2026-01-16 12:45:00,BLDG_B,12,Friday,4.28,21.57,Low,Low Usage
2026-01-16 13:45:00,BLDG_B,13,Friday,8.39,43.5,Low,Low Usage
2026-01-16 14:45:00,BLDG_B,14,Friday,6.5,56.52,Normal,Medium Usage
2026-01-16 15:45:00,BLDG_B,15,Friday,6.67,25.64,Low,Low Usage
2026-01-16 16:45:00,BLDG_B,16,Friday,4.79,28.0,Low,Low Usage
2026-01-16 17:45:00,BLDG_B,17,Friday,4.18,20.35,Low,Low Usage
2026-01-15 18:45:00,BLDG_C,18,Thursday,2.0,5.71,Low,Low Usage
2026-01-15 19:45:00,BLDG_C,19,Thursday,1.33,5.22,Low,Low Usage
2026-01-15 20:45:00,BLDG_C,20,Thursday,2.58,11.57,Low,Low Usage
2026-01-15 21:45:00,BLDG_C,21,Thursday,2.0,10.81,Low,Low Usage
2026-01-15 22:45:00,BLDG_C,22,Thursday,0.0,0.0,Low,Low Usage
2026-01-15 23:45:00,BLDG_C,23,Thursday,0.78,3.48,Low,Low Usage
2026-01-16 00:45:00,BLDG_C,0,Friday,1.0,10.0,Low,Low Usage
2026-01-16 01:45:00,BLDG_C,1,Friday,3.0,11.54,Low,Low Usage
2026-01-16 02:45:00,BLDG_C,2,Friday,0.94,4.23,Low,Low Usage
2026-01-16 03:45:00,BLDG_C,3,Friday,1.77,9.06,Low,Low Usage
2026-01-16 04:45:00,BLDG_C,4,Friday,0.5,4.17,Low,Low Usage
2026-01-16 05:45:00,BLDG_C,5,Friday,1.33,4.44,Low,Low Usage
2026-01-16 06:45:00,BLDG_C,6,Friday,0.68,3.15,Low,Low Usage
2026-01-16 07:45:00,BLDG_C,7,Friday,1.62,6.82,Low,Low Usage
2026-01-16 08:45:00,BLDG_C,8,Friday,4.0,27.27,Low,Low Usage
2026-01-16 09:45:00,BLDG_C,9,Friday,15.0,42.86,Low,Low Usage
2026-01-16 10:45:00,BLDG_C,10,Friday,6.49,28.45,Low,Low Usage
2026-01-16 11:45:00,BLDG_C,11,Friday,8.83,36.43,Low,Low Usage
2026-01-16 12:45:00,BLDG_C,12,Friday,9.5,51.35,Normal,Medium Usage
2026-01-16 13:45:00,BLDG_C,13,Friday,39.0,97.5,Normal,High Usage
2026-01-16 14:45:00,BLDG_C,14,Friday,8.08,39.59,Low,Low Usage
2026-01-16 15:45:00,BLDG_C,15,Friday,6.0,60.0,Normal,Medium Usage
2026-01-16 16:45:00,BLDG_C,16,Friday,10.75,41.35,Low,Low Usage
2026-01-16 17:45:00,BLDG_C,17,Friday,3.56,15.92,Low,Low Usage
