Hour,Average_Occupancy,Average_Utilization,Maximum_Occupancy
0,0.625,3.50375,4
1,1.4,6.40675,7
2,1.275,6.9445,7
3,1.425,7.128,8
4,1.1,5.5295000000000005,6
5,1.55,7.157500000000001,8
6,1.1,5.9887500000000005,7
7,1.325,5.54575,7
8,4.4772727272727275,21.720000000000002,36
9,8.772727272727273,44.938863636363635,21
10,9.113636363636363,43.50318181818182,33
11,9.454545454545455,48.063181818181825,26
12,6.2272727272727275,33.799090909090914,19
13,8.431818181818182,39.89181818181818,39
14,7.954545454545454,41.310227272727275,21
15,8.659090909090908,43.482727272727274,42
16,8.295454545454545,42.24886363636364,43
17,3.659090909090909,19.60590909090909,21
18,0.9,4.93,4
19,0.925,4.51625,6
20,1.45,7.002750000000001,7
21,1.3,6.91275,5
22,1.025,5.9555,5
23,1.2,6.20925,6
