Timestamp,Building_ID,Floor,Room_ID,Room_Type,Room_Capacity,Occupancy_Count,Temperature_C,Humidity_Percent,Working_Hours,Day_of_Week,Hour,Minute,Day,Month,Day_of_Week_Num,Is_Weekend,Available_Capacity,Utilization_Percent,Occupancy_Ratio,Occupancy_Status,Overcrowding_Flag,Peak_Hour,Occupancy_Load_Category
2026-01-05 08:00:00,BLDG_A,1,A101,Office,10,3,24.7,61.58,1,Monday,8,0,5,1,0,0,7,30.0,0.3,Low,0,0,Low Load
2026-01-05 08:15:00,BLDG_A,1,A102,Office,12,1,23.95,52.79,1,Monday,8,15,5,1,0,0,11,8.33,0.083,Low,0,0,Low Load
2026-01-05 08:30:00,BLDG_A,1,A103,Meeting Room,20,4,24.86,60.44,1,Monday,8,30,5,1,0,0,16,20.0,0.2,Low,0,0,Low Load
2026-01-05 08:45:00,BLDG_A,2,A201,Lab,30,6,24.36,48.98,1,Monday,8,45,5,1,0,0,24,20.0,0.2,Low,0,0,Low Load
2026-01-05 09:00:00,BLDG_A,2,A202,Conference,25,12,24.85,54.65,1,Monday,9,0,5,1,0,0,13,48.0,0.48,Low,0,1,Low Load
2026-01-05 09:15:00,BLDG_B,1,B101,Office,8,5,25.27,53.92,1,Monday,9,15,5,1,0,0,3,62.5,0.625,Normal,0,1,Moderate Load
2026-01-05 09:30:00,BLDG_B,1,B102,Office,15,8,24.44,57.56,1,Monday,9,30,5,1,0,0,7,53.33,0.533,Normal,0,1,Moderate Load
2026-01-05 09:45:00,BLDG_B,1,B103,Meeting Room,18,10,26.37,52.16,1,Monday,9,45,5,1,0,0,8,55.56,0.556,Normal,0,1,Moderate Load
2026-01-05 10:00:00,BLDG_B,2,B201,Training Room,35,13,24.54,62.9,1,Monday,10,0,5,1,0,0,22,37.14,0.371,Low,0,1,Low Load
2026-01-05 10:15:00,BLDG_B,2,B202,Conference,25,11,22.81,59.55,1,Monday,10,15,5,1,0,0,14,44.0,0.44,Low,0,1,Low Load
2026-01-05 10:30:00,BLDG_C,1,C101,Office,10,7,22.39,58.8,1,Monday,10,30,5,1,0,0,3,70.0,0.7,Normal,0,1,Moderate Load
2026-01-05 10:45:00,BLDG_C,1,C102,Office,14,7,23.94,56.53,1,Monday,10,45,5,1,0,0,7,50.0,0.5,Normal,0,1,Moderate Load
2026-01-05 11:00:00,BLDG_C,1,C103,Meeting Room,20,12,24.61,55.47,1,Monday,11,0,5,1,0,0,8,60.0,0.6,Normal,0,1,Moderate Load
2026-01-05 11:15:00,BLDG_C,2,C201,Lab,30,16,22.05,52.76,1,Monday,11,15,5,1,0,0,14,53.33,0.533,Normal,0,1,Moderate Load
2026-01-05 11:30:00,BLDG_C,2,C202,Training Room,40,15,23.47,65.46,1,Monday,11,30,5,1,0,0,25,37.5,0.375,Low,0,1,Low Load
2026-01-05 11:45:00,BLDG_A,1,A101,Office,10,5,21.78,52.66,1,Monday,11,45,5,1,0,0,5,50.0,0.5,Normal,0,1,Moderate Load
