Forecast_Timestamp,Forecast_Hour,Day_of_Week,Predicted_Occupancy,Average_Utilization,Forecast_Status
2026-01-15 18:45:00,18,Thursday,2.83,3.3,Low
2026-01-15 19:45:00,19,Thursday,3.33,4.41,Low
2026-01-15 20:45:00,20,Thursday,3.4,5.24,Low
2026-01-15 21:45:00,21,Thursday,3.75,6.67,Low
2026-01-15 22:45:00,22,Thursday,1.28,2.6,Low
2026-01-15 23:45:00,23,Thursday,2.28,5.51,Low
2026-01-16 00:45:00,0,Friday,1.64,4.45,Low
2026-01-16 01:45:00,1,Friday,5.23,7.66,Low
2026-01-16 02:45:00,2,Friday,2.98,5.07,Low
2026-01-16 03:45:00,3,Friday,5.44,8.65,Low
2026-01-16 04:45:00,4,Friday,2.11,3.85,Low
2026-01-16 05:45:00,5,Friday,3.11,4.46,Low
2026-01-16 06:45:00,6,Friday,2.6,4.16,Low
2026-01-16 07:45:00,7,Friday,4.06,6.52,Low
2026-01-16 08:45:00,8,Friday,11.44,21.04,Low
2026-01-16 09:45:00,9,Friday,29.83,49.17,Low
2026-01-16 10:45:00,10,Friday,23.16,45.87,Low
2026-01-16 11:45:00,11,Friday,28.55,43.81,Low
2026-01-16 12:45:00,12,Friday,20.52,35.73,Low
2026-01-16 13:45:00,13,Friday,53.72,62.08,Normal
2026-01-16 14:45:00,14,Friday,28.08,48.4,Low
2026-01-16 15:45:00,15,Friday,18.3,39.26,Low
2026-01-16 16:45:00,16,Friday,23.16,35.29,Low
2026-01-16 17:45:00,17,Friday,9.24,14.87,Low
