Timestamp,Building_ID,Floor,Room_ID,Room_Type,Room_Capacity,Occupancy_Count,Temperature_C,Humidity_Percent,Working_Hours,Day_of_Week,Hour,Minute,Day,Month,Day_of_Week_Num,Is_Weekend,Available_Capacity,Utilization_Percent,Occupancy_Ratio,Occupancy_Status,Overcrowding_Flag,Peak_Hour,Occupancy_Load_Category,Overcrowding_Percent,Overcrowding_Severity,Overcrowding_Detected
2026-01-05 17:15:00,BLDG_B,1,B103,Meeting Room,18,21,23.99,53.89,1,Monday,17,15,5,1,0,0,-3,116.67,1.167,Overcrowded,1,0,Overloaded,16.666666666666664,High,True
2026-01-06 11:15:00,BLDG_A,2,A202,Conference,25,26,21.88,46.24,1,Tuesday,11,15,6,1,1,0,-1,104.0,1.04,Overcrowded,1,1,Overloaded,4.0,Moderate,True
2026-01-07 13:15:00,BLDG_A,2,A201,Lab,30,35,25.96,58.61,1,Wednesday,13,15,7,1,2,0,-5,116.67,1.167,Overcrowded,1,0,Overloaded,16.666666666666664,High,True
2026-01-07 15:30:00,BLDG_C,1,C103,Meeting Room,20,24,24.87,55.08,1,Wednesday,15,30,7,1,2,0,-4,120.0,1.2,Overcrowded,1,1,Overloaded,20.0,High,True
2026-01-07 16:00:00,BLDG_C,2,C202,Training Room,40,43,24.41,57.74,1,Wednesday,16,0,7,1,2,0,-3,107.5,1.075,Overcrowded,1,1,Overloaded,7.5,Moderate,True
2026-01-07 16:15:00,BLDG_A,1,A101,Office,10,11,25.07,62.18,1,Wednesday,16,15,7,1,2,0,-1,110.0,1.1,Overcrowded,1,1,Overloaded,10.0,Moderate,True
2026-01-13 13:00:00,BLDG_B,2,B201,Training Room,35,36,24.6,50.9,1,Tuesday,13,0,13,1,1,0,-1,102.86,1.029,Overcrowded,1,0,Overloaded,2.857142857142857,Moderate,True
2026-01-14 15:15:00,BLDG_B,2,B201,Training Room,35,42,24.63,68.76,1,Wednesday,15,15,14,1,2,0,-7,120.0,1.2,Overcrowded,1,1,Overloaded,20.0,High,True
2026-01-15 08:45:00,BLDG_A,2,A201,Lab,30,36,22.7,54.56,1,Thursday,8,45,15,1,3,0,-6,120.0,1.2,Overcrowded,1,0,Overloaded,20.0,High,True
2026-01-15 13:00:00,BLDG_B,1,B101,Office,8,9,24.33,54.57,1,Thursday,13,0,15,1,3,0,-1,112.5,1.125,Overcrowded,1,0,Overloaded,12.5,High,True
2026-01-15 13:15:00,BLDG_B,1,B102,Office,15,18,26.27,61.58,1,Thursday,13,15,15,1,3,0,-3,120.0,1.2,Overcrowded,1,0,Overloaded,20.0,High,True
2026-01-15 14:15:00,BLDG_C,1,C101,Office,10,11,25.16,60.42,1,Thursday,14,15,15,1,3,0,-1,110.0,1.1,Overcrowded,1,1,Overloaded,10.0,Moderate,True
