Building_ID,Room_ID,Room_Type,Room_Capacity,Average_Occupancy,Maximum_Occupancy,Average_Utilization,Overcrowded_Records
BLDG_A,A101,Office,10,2.24,11,22.39,1
BLDG_A,A102,Office,12,2.66,12,22.14,0
BLDG_A,A103,Meeting Room,20,3.54,13,17.69,0
BLDG_A,A201,Lab,30,6.51,36,21.69,2
BLDG_A,A202,Conference,25,4.01,26,16.06,1
BLDG_B,B101,Office,8,1.81,9,22.57,1
BLDG_B,B102,Office,15,3.46,18,23.08,1
BLDG_B,B103,Meeting Room,18,3.58,21,19.9,1
BLDG_B,B201,Training Room,35,5.93,42,16.93,2
BLDG_B,B202,Conference,25,4.1,15,16.42,0
BLDG_C,C101,Office,10,2.47,11,24.7,1
BLDG_C,C102,Office,14,2.76,10,19.7,0
BLDG_C,C103,Meeting Room,20,4.42,24,22.12,1
BLDG_C,C201,Lab,30,5.58,29,18.59,0
BLDG_C,C202,Training Room,40,6.45,43,16.14,1
