Timestamp,Building_ID,Energy_Consumption_kWh,Power_Demand_kW,HVAC_Usage_kWh,Lighting_Usage_kWh,Water_Consumption_L,Temperature_C,Humidity_Percent,Occupancy_Count,Hour,Day,Day_of_Week,Working_Hours
2026-01-01 00:00:00,BLDG_B,4.69,18.77,1.69,0.56,6.14,22.6,67.8,3,0,1,3,0
2026-01-01 00:15:00,BLDG_B,5.32,21.3,2.06,0.89,7.39,21.83,67.52,7,0,1,3,0
2026-01-01 00:30:00,BLDG_B,5.71,22.82,2.0,0.83,9.87,22.78,63.51,8,0,1,3,0
2026-01-01 00:45:00,BLDG_C,4.28,17.1,1.01,0.92,7.36,23.83,59.82,0,0,1,3,0
2026-01-01 01:00:00,BLDG_B,5.26,21.02,2.2,0.37,10.25,21.72,67.02,3,1,1,3,0
2026-01-01 01:15:00,BLDG_C,5.22,20.89,1.84,0.84,9.55,21.72,66.1,3,1,1,3,0
2026-01-01 01:30:00,BLDG_A,4.88,19.53,1.99,0.3,8.5,23.9,64.34,1,1,1,3,0
2026-01-01 01:45:00,BLDG_A,5.4,21.62,1.56,0.76,6.85,22.92,65.02,5,1,1,3,0
2026-01-01 02:00:00,BLDG_C,5.1,20.4,1.45,0.96,8.49,21.44,68.49,2,2,1,3,0
2026-01-01 02:15:00,BLDG_B,6.25,25.0,2.44,1.06,9.21,22.65,61.92,6,2,1,3,0
2026-01-01 02:30:00,BLDG_A,11.38,45.51,2.55,0.88,9.32,21.44,69.29,4,2,1,3,0
2026-01-01 02:45:00,BLDG_B,5.98,23.93,2.21,0.97,7.8,21.44,65.93,3,2,1,3,0
2026-01-01 03:00:00,BLDG_B,4.64,18.58,1.09,0.73,9.93,22.29,70.29,4,3,1,3,0
2026-01-01 03:15:00,BLDG_C,5.69,22.77,2.24,0.67,8.85,19.7,65.88,7,3,1,3,0
2026-01-01 03:30:00,BLDG_A,4.85,19.41,1.1,1.47,9.3,19.93,72.81,2,3,1,3,0
