Event_ID,Timestamp,Building_ID,Zone,Person_ID,Person_Type,Badge_ID,Access_Type,Authorization_Status,Risk_Level,Event_Type,Access_Duration_Min,Security_Alert,CCTV_Status,Incident_Detected,Hour,Day,Day_of_Week,Month,Date,Working_Hours,Unauthorized_Access,Security_Alert_Flag,Incident_Flag,CCTV_Issue_Flag,High_Risk_Flag,Security_Event_Score,Security_Status
SEC_0001,2026-01-01 08:00:00,BLDG_A,Restricted Zone,P1088,Visitor,BADGE_10373,Exit,Authorized,Low,Normal Access,101,No,Normal,No,8,1,Thursday,1,2026-01-01,No,0,0,0,0,0,0,Normal
SEC_0002,2026-01-01 08:30:00,BLDG_A,Common Area,P1022,Employee,BADGE_10253,Exit,Denied,Medium,Failed Access,90,No,Unusual,No,8,1,Thursday,1,2026-01-01,No,0,0,0,1,0,1,Monitoring
SEC_0003,2026-01-01 09:00:00,BLDG_A,Common Area,P1051,Employee,BADGE_10364,Entry,Authorized,Low,Normal Access,56,No,Normal,No,9,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0004,2026-01-01 09:30:00,BLDG_C,Meeting Room,P1014,Visitor,BADGE_10242,Exit,Authorized,Medium,Normal Access,10,No,Normal,No,9,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0005,2026-01-01 10:00:00,BLDG_A,Office Floor,P1081,Employee,BADGE_10420,Exit,Authorized,Low,Normal Access,51,No,Normal,No,10,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0006,2026-01-01 10:30:00,BLDG_B,Meeting Room,P1270,Employee,BADGE_10351,Entry,Authorized,Critical,Suspicious Activity,49,Yes,Suspicious,Yes,10,1,Thursday,1,2026-01-01,Yes,0,1,1,0,1,3,Warning
SEC_0007,2026-01-01 11:00:00,BLDG_A,Common Area,P1280,Employee,BADGE_10410,Exit,Authorized,Low,Normal Access,125,No,Normal,No,11,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0008,2026-01-01 11:30:00,BLDG_A,Office Floor,P1063,Employee,BADGE_10139,Entry,Authorized,Low,Normal Access,82,No,Normal,No,11,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0009,2026-01-01 12:00:00,BLDG_B,Parking Area,P1268,Employee,BADGE_10418,Exit,Authorized,Low,Normal Access,34,No,Normal,No,12,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
SEC_0010,2026-01-01 12:30:00,BLDG_A,Meeting Room,P1101,Employee,BADGE_10431,Exit,Authorized,Low,Normal Access,132,No,Normal,No,12,1,Thursday,1,2026-01-01,Yes,0,0,0,0,0,0,Normal
